flores_code,language_name,script,muri_codes,mapping_method,mapping_confidence,muri_n_examples,muri_n_train,muri_n_mri,muri_n_after_dedup,muri_n_empty,mean_instruction_len,mean_response_len,in_nllb,in_flores,in_belebele,joshi_level,joshi_match,joshi_match_method,in_pool,mri_clean_lo,mri_clean_hi,volume_for_threshold,passes_ge_500,passes_ge_1000,passes_ge_2000,passes_ge_5000,passes_volume_threshold
tgk_Cyrl,Tajik,Cyrl,tgk,direct,exact,15000,13500,15000,15000,0,60.7,2108.0,True,True,True,1,tajik,name,True,15000,15000,15000,True,True,True,True,True
fra_Latn,French,Latn,fra,direct,exact,29559,26604,15000,29558,1,252.8,2488.6,True,True,True,5,french,name,True,14999,15000,14999,True,True,True,True,True
ben_Beng,Bengali,Beng,ben,direct,exact,25674,23107,15000,25673,0,214.9,1515.9,True,True,True,3,bengali,name,True,14999,15000,14999,True,True,True,True,True
por_Latn,Portuguese,Latn,por,direct,exact,23351,21016,15000,23350,0,267.2,2028.8,True,True,True,4,portuguese,name,True,14999,15000,14999,True,True,True,True,True
mal_Mlym,Malayalam,Mlym,mal,direct,exact,22576,20318,15000,22575,0,135.0,1690.1,True,True,True,1,malayalam,name,True,14999,15000,14999,True,True,True,True,True
nld_Latn,Dutch,Latn,nld,direct,exact,21860,19674,15000,21859,0,112.3,2236.6,True,True,True,4,dutch,name,True,14999,15000,14999,True,True,True,True,True
rus_Cyrl,Russian,Cyrl,rus,direct,exact,21416,19274,15000,21415,0,109.9,3021.2,True,True,True,4,russian,name,True,14999,15000,14999,True,True,True,True,True
ces_Latn,Czech,Latn,ces,direct,exact,17638,15875,15000,17637,0,67.5,2992.3,True,True,True,4,czech,name,True,14999,15000,14999,True,True,True,True,True
vie_Latn,Vietnamese,Latn,vie,direct,exact,25087,22579,15000,25085,0,235.7,1954.8,True,True,True,4,vietnamese,name,True,14998,15000,14998,True,True,True,True,True
tha_Thai,Thai,Thai,tha,direct,exact,21406,19265,15000,21404,0,405.7,2392.8,True,True,True,3,thai,name,True,14998,15000,14998,True,True,True,True,True
tur_Latn,Turkish,Latn,tur,direct,exact,18010,16209,15000,18008,0,98.3,2185.9,True,True,True,4,turkish,name,True,14998,15000,14998,True,True,True,True,True
ita_Latn,Italian,Latn,ita,direct,exact,23836,21453,15000,23833,0,123.5,2682.2,True,True,True,4,italian,name,True,14997,15000,14997,True,True,True,True,True
pan_Guru,Panjabi,Guru,pan,direct,exact,21688,19519,15000,21682,0,153.5,1700.5,True,True,True,2,eastern punjabi,alias,True,14994,15000,14994,True,True,True,True,True
nob_Latn,Norwegian Bokmål,Latn,nor,decision,assumed,15200,13680,15000,15193,0,66.5,1926.5,True,True,True,1,norwegian,muri-name,True,14993,15000,14993,True,True,True,True,True
bul_Cyrl,Bulgarian,Cyrl,bul,direct,exact,17104,15394,15000,17096,0,143.2,2507.9,True,True,True,3,bulgarian,name,True,14992,15000,14992,True,True,True,True,True
mya_Mymr,Burmese,Mymr,mya,direct,exact,15443,13899,15000,15435,0,61.9,1924.4,True,True,True,1,burmese,name,True,14992,15000,14992,True,True,True,True,True
arb_Arab,Standard Arabic,Arab,ara,decision,assumed,26403,23762,15000,26394,0,272.7,1163.6,True,True,True,5,arabic,muri-name,True,14991,15000,14991,True,True,True,True,True
eus_Latn,Basque,Latn,eus,direct,exact,19000,17100,15000,18991,0,81.5,1924.0,True,True,True,4,basque,name,True,14991,15000,14991,True,True,True,True,True
eng_Latn,English,Latn,eng,direct,exact,125995,113395,15000,125984,20,1061.7,645.4,True,True,True,5,english,name,True,14989,15000,14989,True,True,True,True,True
slk_Latn,Slovak,Latn,slk,direct,exact,15000,13500,15000,14989,0,59.8,2243.8,True,True,True,3,slovak,name,True,14989,14989,14989,True,True,True,True,True
kat_Geor,Georgian,Geor,kat,direct,exact,15000,13500,15000,14987,0,53.7,2296.6,True,True,True,3,georgian,name,True,14987,14987,14987,True,True,True,True,True
urd_Arab,Urdu,Arab,urd,direct,exact,21763,19587,15000,21748,0,240.5,1738.2,True,True,True,3,urdu,name,True,14985,15000,14985,True,True,True,True,True
ory_Orya,Odia,Orya,ori,macro->member,inferred,21775,19597,15000,21756,0,119.7,1305.7,True,True,True,1,odia,name,True,14981,15000,14981,True,True,True,True,True
zsm_Latn,Standard Malay,Latn,msa,decision,assumed,24567,22110,15000,24544,0,248.3,1576.5,True,True,True,3,malay,muri-name,True,14977,15000,14977,True,True,True,True,True
khk_Cyrl,Halh Mongolian,Cyrl,mon,macro->member,inferred,15000,13500,15000,14977,0,57.0,2659.5,True,True,True,1,mongolian,muri-name,True,14977,14977,14977,True,True,True,True,True
zho_Hans,Chinese,Hans,zho,decision,assumed,29630,26667,15000,29586,1,196.8,606.0,True,True,True,5,mandarin,alias,True,14956,15000,14956,True,True,True,True,True
asm_Beng,Assamese,Beng,asm,direct,exact,19500,17550,15000,19434,0,92.7,2483.1,True,True,True,1,assamese,name,True,14934,15000,14934,True,True,True,True,True
heb_Hebr,Hebrew,Hebr,heb,direct,exact,16975,15278,15000,16905,0,58.8,3375.7,True,True,True,3,hebrew,name,True,14930,15000,14930,True,True,True,True,True
hin_Deva,Hindi,Deva,hin,direct,exact,30291,27262,15000,30204,0,283.1,1705.9,True,True,True,4,hindi,name,True,14913,15000,14913,True,True,True,True,True
plt_Latn,Plateau Malagasy,Latn,mlg,macro->member,inferred,15000,13500,15000,14893,0,66.2,2503.1,True,True,True,1,malagasy,muri-name,True,14893,14893,14893,True,True,True,True,True
kan_Knda,Kannada,Knda,kan,direct,exact,20000,18000,15000,19885,0,108.0,3140.5,True,True,True,1,kannada,name,True,14885,15000,14885,True,True,True,True,True
mkd_Cyrl,Macedonian,Cyrl,mkd,direct,exact,15000,13500,15000,14879,0,55.9,2775.9,True,True,True,1,macedonian,name,True,14879,14879,14879,True,True,True,True,True
snd_Arab,Sindhi,Arab,snd,direct,exact,15000,13500,15000,14864,0,49.4,2547.6,True,True,True,1,sindhi,name,True,14864,14864,14864,True,True,True,True,True
als_Latn,Tosk Albanian,Latn,sqi,macro->member,inferred,15000,13500,15000,14850,0,53.7,2175.5,True,True,True,1,albanian,muri-name,True,14850,14850,14850,True,True,True,True,True
mar_Deva,Marathi,Deva,mar,direct,exact,22456,20210,15000,22271,0,166.4,1386.6,True,True,True,2,marathi,name,True,14815,15000,14815,True,True,True,True,True
pbt_Arab,Southern Pashto,Arab,pus,macro->member,inferred,15000,13500,15000,14726,0,45.8,3255.0,True,True,True,1,pashto,last-word,True,14726,14726,14726,True,True,True,True,True
khm_Khmr,Khmer,Khmr,khm,direct,exact,15712,14140,14795,15587,0,67.9,2448.3,True,True,True,1,khmer,name,True,14670,14795,14670,True,True,True,True,True
guj_Gujr,Gujarati,Gujr,guj,direct,exact,24227,21804,15000,23888,0,180.5,1479.1,True,True,True,1,gujarati,name,True,14661,15000,14661,True,True,True,True,True
sin_Sinh,Sinhala,Sinh,sin,direct,exact,15400,13860,15000,15061,0,54.2,3120.4,True,True,True,1,sinhalese,alias,True,14661,15000,14661,True,True,True,True,True
azj_Latn,North Azerbaijani,Latn,aze,macro->member,inferred,15000,13500,15000,14605,0,57.4,2496.6,True,True,True,1,azerbaijani,muri-name,True,14605,14605,14605,True,True,True,True,True
amh_Ethi,Amharic,Ethi,amh,direct,exact,14954,13459,14954,14540,0,37.8,2026.1,True,True,True,2,amharic,name,True,14540,14540,14540,True,True,True,True,True
swh_Latn,Swahili,Latn,swa,macro->member,inferred,20500,18450,15000,19995,0,132.8,937.1,True,True,True,2,swahili,name,True,14495,15000,14495,True,True,True,True,True
mlt_Latn,Maltese,Latn,mlt,direct,exact,13537,12183,13537,13537,0,76.0,5756.4,True,True,True,2,maltese,name,True,13537,13537,13537,True,True,True,True,True
npi_Deva,Nepali,Deva,nep,macro->member,inferred,15656,14090,11456,15644,0,132.1,1565.2,True,True,True,1,nepali,name,True,11444,11456,11444,True,True,True,True,True
lao_Laoo,Lao,Laoo,lao,direct,exact,11948,10753,11051,11868,0,72.5,1798.7,True,True,True,2,lao,name,True,10971,11051,10971,True,True,True,True,True
war_Latn,Waray (Philippines),Latn,war,direct,exact,10854,9769,10854,10854,0,92.7,330.9,True,True,True,1,waray,name,True,10854,10854,10854,True,True,True,True,True
uzn_Latn,Northern Uzbek,Latn,uzb,macro->member,inferred,10099,9089,10099,10099,0,63.6,2523.8,True,True,True,3,uzbek,muri-name,True,10099,10099,10099,True,True,True,True,True
ibo_Latn,Igbo,Latn,ibo,direct,exact,14141,12727,9741,14141,0,102.6,1711.8,True,True,True,1,igbo,name,True,9741,9741,9741,True,True,True,True,True
shn_Mymr,Shan,Mymr,shn,direct,exact,9647,8682,9647,9461,0,56.1,761.7,True,True,True,0,shan,name,True,9461,9461,9461,True,True,True,True,True
hau_Latn,Hausa,Latn,hau,direct,exact,8939,8045,8939,8914,0,54.7,2205.9,True,True,True,2,hausa,name,True,8914,8914,8914,True,True,True,True,True
zul_Latn,Zulu,Latn,zul,direct,exact,12491,11242,8491,12491,0,74.4,386.9,True,True,True,2,zulu,name,True,8491,8491,8491,True,True,True,True,True
jav_Latn,Javanese,Latn,jav,direct,exact,8485,7636,8485,8484,0,48.8,817.8,True,True,True,1,javanese,name,True,8484,8484,8484,True,True,True,True,True
ukr_Cyrl,Ukrainian,Cyrl,ukr,direct,exact,8435,7592,8435,8435,0,63.0,3332.2,True,True,True,3,ukrainian,name,True,8435,8435,8435,True,True,True,True,True
sna_Latn,Shona,Latn,sna,direct,exact,12285,11057,8285,12284,0,122.3,552.8,True,True,True,1,shona,name,True,8284,8285,8284,True,True,True,True,True
som_Latn,Somali,Latn,som,direct,exact,8362,7526,7818,8362,0,70.7,1366.4,True,True,True,1,somali,name,True,7818,7818,7818,True,True,True,True,True
hat_Latn,Haitian,Latn,hat,direct,exact,9876,8888,8876,8781,0,97.3,622.4,True,True,True,2,haitian,name,True,7781,8781,7781,True,True,True,True,True
kir_Cyrl,Kirghiz,Cyrl,kir,direct,exact,7464,6718,7464,7464,0,77.0,3279.5,True,True,True,1,kirghiz,name,True,7464,7464,7464,True,True,True,True,True
hye_Armn,Armenian,Armn,hye,direct,exact,7259,6533,7259,7259,0,72.6,2869.4,True,True,True,1,armenian,name,True,7259,7259,7259,True,True,True,True,True
mri_Latn,Maori,Latn,mri,direct,exact,7064,6358,7064,6783,0,58.4,444.3,True,True,True,1,maori,name,True,6783,6783,6783,True,True,True,True,True
nso_Latn,Pedi,Latn,nso,direct,exact,10854,9769,6854,10651,0,98.0,173.1,True,True,True,1,northern sotho,alias,True,6651,6854,6651,True,True,True,True,True
grn_Latn,Guarani,Latn,grn,direct,exact,5178,4660,5178,5178,0,50.9,1104.1,True,True,True,1,guarani,name,True,5178,5178,5178,True,True,True,True,True
kin_Latn,Kinyarwanda,Latn,kin,direct,exact,8237,7413,4237,8235,0,87.4,789.7,True,True,True,1,kinyarwanda,name,True,4235,4237,4235,True,True,True,False,False
bod_Tibt,Tibetan,Tibt,bod,direct,exact,3679,3311,3679,3583,0,71.5,9099.4,True,True,True,1,tibetan,name,True,3583,3583,3583,True,True,True,False,False
lug_Latn,Ganda,Latn,lug,direct,exact,7126,6413,3126,7122,0,115.9,819.4,True,True,True,1,luganda,alias,True,3122,3126,3122,True,True,True,False,False
ilo_Latn,Iloko,Latn,ilo,direct,exact,1892,1703,1892,1834,0,86.2,416.1,True,True,True,1,ilocano,alias,True,1834,1834,1834,True,True,False,False,False
gaz_Latn,West Central Oromo,Latn,orm,macro->member,inferred,1595,1436,1595,1595,0,70.7,1708.2,True,True,True,1,oromo,muri-name,True,1595,1595,1595,True,True,False,False,False
fuv_Latn,Nigerian Fulfulde,Latn,ful,macro->member,inferred,1565,1409,1565,1565,0,57.7,658.5,True,True,True,1,fula,alias,True,1565,1565,1565,True,True,False,False,False
xho_Latn,Xhosa,Latn,xho,direct,exact,5901,5311,1501,5901,0,128.1,381.8,True,True,True,2,xhosa,name,True,1501,1501,1501,True,True,False,False,False
tsn_Latn,Tswana,Latn,tsn,direct,exact,5187,4668,1187,5187,0,121.1,793.4,True,True,True,2,tswana,name,True,1187,1187,1187,True,True,False,False,False
wol_Latn,Wolof,Latn,wol,direct,exact,4952,4457,952,4952,0,143.8,479.6,True,True,True,2,wolof,name,True,952,952,952,True,False,False,False,False
nya_Latn,Chichewa,Latn,nya,direct,exact,4948,4453,948,4948,0,136.5,354.1,True,True,True,1,chichewa,name,True,948,948,948,True,False,False,False,False
sot_Latn,Southern Sotho,Latn,sot,direct,exact,4731,4258,731,4731,0,168.4,252.6,True,True,True,1,sesotho,alias,True,731,731,731,True,False,False,False,False
bam_Latn,Bambara,Latn,bam,direct,exact,4690,4221,690,4690,0,160.9,176.7,True,True,True,1,bambara,name,True,690,690,690,True,False,False,False,False
lin_Latn,Lingala,Latn,lin,direct,exact,4679,4211,679,4678,0,148.6,166.2,True,True,True,1,lingala,name,True,678,679,678,True,False,False,False,False
tso_Latn,Tsonga,Latn,tso,direct,exact,4629,4166,629,4629,0,129.9,221.9,True,True,True,1,tsonga,name,True,629,629,629,True,False,False,False,False
ssw_Latn,Swati,Latn,ssw,direct,exact,445,401,445,445,0,105.1,1235.0,True,True,True,1,swati,name,True,445,445,445,False,False,False,False,False
tir_Ethi,Tigrinya,Ethi,tir,direct,exact,166,149,166,166,0,49.6,707.9,True,True,True,2,tigrinya,name,True,166,166,166,False,False,False,False,False
sun_Latn,Sundanese,Latn,sun,direct,exact,112,101,112,112,0,39.6,891.4,True,True,True,1,sundanese,name,True,112,112,112,False,False,False,False,False
yor_Latn,Yoruba,Latn,yor,direct,exact,5945,5351,145,5911,0,279.4,92.7,True,True,True,2,yoruba,name,True,111,145,111,False,False,False,False,False
tgl_Latn,Tagalog,Latn,fil+tgl,decision+direct,inferred,1443,1299,0,1443,0,330.6,108.2,True,True,True,3,tagalog,name,True,0,0,0,False,False,False,False,False
tat_Cyrl,Tatar,Cyrl,tat,direct,exact,15000,13500,15000,14999,0,61.5,1893.3,True,True,False,1,tatar,name,False,14999,14999,14999,False,False,False,False,False
cym_Latn,Welsh,Latn,cym,direct,exact,15000,13500,15000,14998,0,54.7,2240.4,True,True,False,1,welsh,name,False,14998,14998,14998,False,False,False,False,False
epo_Latn,Esperanto,Latn,epo,direct,exact,15000,13500,15000,14989,0,47.5,3527.1,True,True,False,1,esperanto,name,False,14989,14989,14989,False,False,False,False,False
bel_Cyrl,Belarusian,Cyrl,bel,direct,exact,15000,13500,15000,14988,0,51.5,2582.2,True,True,False,3,belarusian,name,False,14988,14988,14988,False,False,False,False,False
gla_Latn,Scottish Gaelic,Latn,gla,direct,exact,15000,13500,15000,14943,0,62.3,1189.9,True,True,False,1,scottish gaelic,name,False,14943,14943,14943,False,False,False,False,False
oci_Latn,Occitan (post 1500),Latn,oci,direct,exact,15000,13500,15000,14920,0,50.0,889.9,True,True,False,1,occitan,name,False,14920,14920,14920,False,False,False,False,False
ltz_Latn,Luxembourgish,Latn,ltz,direct,exact,15000,13500,15000,14884,0,58.1,2369.5,True,True,False,1,luxembourgish,name,False,14884,14884,14884,False,False,False,False,False
ydd_Hebr,Eastern Yiddish,Hebr,yid,macro->member,inferred,15000,13500,15000,14862,0,51.8,2944.8,True,True,False,1,yiddish,muri-name,False,14862,14862,14862,False,False,False,False,False
gle_Latn,Irish,Latn,gle,direct,exact,15000,13500,15000,14751,0,63.0,2734.0,True,True,False,2,irish,name,False,14751,14751,14751,False,False,False,False,False
bak_Cyrl,Bashkir,Cyrl,bak,direct,exact,15000,13500,15000,14662,0,58.6,2724.2,True,True,False,1,bashkir,name,False,14662,14662,14662,False,False,False,False,False
nds_Latn,Low German,Latn,nds,constructed,inferred,14923,13431,14923,14645,0,52.2,1485.0,False,False,False,0,low german,name,False,14645,14645,14645,False,False,False,False,False
uig_Arab,Uighur,Arab,uig,direct,exact,15000,13500,15000,14583,0,66.8,3808.3,True,True,False,,,none,False,14583,14583,14583,False,False,False,False,False
glg_Latn,Galician,Latn,glg,direct,exact,16371,14734,14354,16371,0,78.4,2703.1,True,True,False,3,galician,name,False,14354,14354,14354,False,False,False,False,False
tuk_Latn,Turkmen,Latn,tuk,direct,exact,15000,13500,15000,14281,0,73.6,1221.1,True,True,False,1,turkmen,name,False,14281,14281,14281,False,False,False,False,False
chv_Cyrl,Chuvash,Cyrl,chv,constructed,inferred,14503,13053,14503,14051,0,62.5,1531.4,False,False,False,1,chuvash,name,False,14051,14051,14051,False,False,False,False,False
bre_Latn,Breton,Latn,bre,constructed,inferred,15000,13500,15000,12885,0,42.7,1018.3,False,False,False,1,breton,name,False,12885,12885,12885,False,False,False,False,False
sah_Cyrl,Yakut,Cyrl,sah,constructed,inferred,14339,12905,14339,12850,0,71.6,2269.7,False,False,False,0,yakut,name,False,12850,12850,12850,False,False,False,False,False
lat_Latn,Latin,Latn,lat,constructed,inferred,13297,11967,13297,12806,0,57.7,2420.7,False,False,False,3,latin,name,False,12806,12806,12806,False,False,False,False,False
div_Thaa,Dhivehi,Thaa,div,constructed,inferred,11822,10640,11822,11410,0,82.8,2553.6,False,False,False,0,dhivehi,name,False,11410,11410,11410,False,False,False,False,False
ido_Latn,Ido,Latn,ido,constructed,inferred,10382,9344,10382,10382,0,50.2,812.8,False,False,False,1,ido,name,False,10382,10382,10382,False,False,False,False,False
san_Deva,Sanskrit,Deva,san,direct,exact,14168,12751,14168,10082,0,61.9,2629.4,True,True,False,2,sanskrit,name,False,10082,10082,10082,False,False,False,False,False
new_Deva,Nepal Bhasa,Deva,new,constructed,inferred,10297,9267,10297,10048,0,62.6,812.3,False,False,False,,,none,False,10048,10048,10048,False,False,False,False,False
oss_Cyrl,Iron Ossetic,Cyrl,oss,constructed,inferred,13496,12146,13496,9830,0,70.1,2203.1,False,False,False,0,ossetic,last-word,False,9830,9830,9830,False,False,False,False,False
wln_Latn,Walloon,Latn,wln,constructed,inferred,9545,8590,9545,9302,0,45.5,847.5,False,False,False,1,walloon,name,False,9302,9302,9302,False,False,False,False,False
ace_Latn,Achinese,Latn,ace,direct,inferred,7777,6999,7777,7771,0,45.9,284.3,True,True,False,,,none,False,7771,7771,7771,False,False,False,False,False
lim_Latn,Limburgan,Latn,lim,direct,exact,7572,6815,7572,7572,0,69.7,1919.4,True,True,False,,,none,False,7572,7572,7572,False,False,False,False,False
lij_Latn,Ligurian,Latn,lij,direct,exact,7461,6715,7461,7127,0,74.1,1081.5,True,True,False,1,ligurian,name,False,7127,7127,7127,False,False,False,False,False
arg_Latn,Aragonese,Latn,arg,constructed,inferred,7108,6397,7108,6908,0,61.0,1035.4,False,False,False,1,aragonese,name,False,6908,6908,6908,False,False,False,False,False
ban_Latn,Balinese,Latn,ban,direct,exact,6696,6026,6696,6648,0,67.7,699.3,True,True,False,0,balinese,name,False,6648,6648,6648,False,False,False,False,False
fry_Latn,Western Frisian,Latn,fry,constructed,inferred,6626,5963,6626,6626,0,59.6,2669.4,False,False,False,0,frisian,last-word,False,6626,6626,6626,False,False,False,False,False
fao_Latn,Faroese,Latn,fao,direct,exact,6739,6065,6739,6424,0,54.0,987.2,True,True,False,1,faroese,name,False,6424,6424,6424,False,False,False,False,False
hif_Latn,Fiji Hindi,Latn,hif,constructed,inferred,6264,5638,6264,6238,0,82.6,401.9,False,False,False,1,fiji hindi,name,False,6238,6238,6238,False,False,False,False,False
srd_Latn,Sardinian,Latn,srd,direct,exact,6229,5606,6229,6229,0,52.7,1685.6,True,True,False,1,sardinian,name,False,6229,6229,6229,False,False,False,False,False
crh_Latn,Crimean Tatar,Latn,crh,direct,exact,6179,5561,6179,6178,0,63.8,196.4,True,True,False,1,crimean tatar,name,False,6178,6178,6178,False,False,False,False,False
nav_Latn,Navajo,Latn,nav,constructed,inferred,6056,5450,6056,6056,0,98.8,430.7,False,False,False,1,navajo,name,False,6056,6056,6056,False,False,False,False,False
sme_Latn,Northern Sami,Latn,sme,constructed,inferred,6622,5960,6622,6054,0,46.2,394.6,False,False,False,1,northern sami,name,False,6054,6054,6054,False,False,False,False,False
scn_Latn,Sicilian,Latn,scn,direct,exact,6681,6013,6681,6019,0,51.6,667.3,True,True,False,1,sicilian,name,False,6019,6019,6019,False,False,False,False,False
quy_Latn,Ayacucho Quechua,Latn,que,macro->member,inferred,5290,4761,5290,5290,0,83.7,394.9,True,True,False,1,quechua,muri-name,False,5290,5290,5290,False,False,False,False,False
szl_Latn,Silesian,Latn,szl,direct,exact,5283,4755,5283,5283,0,44.2,288.8,True,True,False,1,silesian,name,False,5283,5283,5283,False,False,False,False,False
vec_Latn,Venetian,Latn,vec,direct,exact,6123,5511,6123,5265,0,52.6,565.6,True,True,False,1,venetian,name,False,5265,5265,5265,False,False,False,False,False
kom_Cyrl,Komi,Cyrl,kom,constructed,inferred,5268,4741,5268,5206,0,76.2,531.6,False,False,False,1,komi,name,False,5206,5206,5206,False,False,False,False,False
chm_Cyrl,Mari (Russia),Cyrl,chm,constructed,inferred,4107,3696,4107,4100,0,68.7,421.7,False,False,False,0,mari,name,False,4100,4100,4100,False,False,False,False,False
cos_Latn,Corsican,Latn,cos,constructed,inferred,4258,3832,4258,4090,0,51.1,1214.2,False,False,False,1,corsican,name,False,4090,4090,4090,False,False,False,False,False
bug_Latn,Buginese,Latn,bug,direct,exact,6151,5536,6151,3833,0,52.7,140.7,True,True,False,1,buginese,name,False,3833,3833,3833,False,False,False,False,False
fur_Latn,Friulian,Latn,fur,direct,exact,3460,3114,3460,3460,0,55.7,934.0,True,True,False,1,friulian,name,False,3460,3460,3460,False,False,False,False,False
bar_Latn,Bavarian,Latn,bar,constructed,inferred,3411,3070,3411,3411,0,66.6,1017.3,False,False,False,1,bavarian,name,False,3411,3411,3411,False,False,False,False,False
mwl_Latn,Mirandese,Latn,mwl,constructed,inferred,3183,2865,3183,3183,0,47.3,4506.4,False,False,False,1,mirandese,name,False,3183,3183,3183,False,False,False,False,False
myv_Cyrl,Erzya,Cyrl,myv,constructed,inferred,2889,2600,2889,2822,0,61.7,600.1,False,False,False,1,erzya,name,False,2822,2822,2822,False,False,False,False,False
udm_Cyrl,Udmurt,Cyrl,udm,constructed,inferred,2751,2476,2751,2751,0,65.9,561.1,False,False,False,1,udmurt,name,False,2751,2751,2751,False,False,False,False,False
pap_Latn,Papiamento,Latn,pap,direct,exact,2759,2483,2759,2665,0,70.9,1008.8,True,True,False,,,none,False,2665,2665,2665,False,False,False,False,False
glv_Latn,Manx,Latn,glv,constructed,inferred,2594,2335,2594,2547,0,97.2,1049.9,False,False,False,1,manx,name,False,2547,2547,2547,False,False,False,False,False
lmo_Latn,Lombard,Latn,lmo,direct,exact,2516,2264,2516,2516,0,72.5,252.6,True,True,False,1,lombard,name,False,2516,2516,2516,False,False,False,False,False
cor_Latn,Cornish,Latn,cor,constructed,inferred,2410,2169,2410,2410,0,70.8,621.2,False,False,False,1,cornish,name,False,2410,2410,2410,False,False,False,False,False
roh_Latn,Romansh,Latn,roh,constructed,inferred,2318,2086,2318,2318,0,72.8,3989.1,False,False,False,1,romansh,name,False,2318,2318,2318,False,False,False,False,False
kas_Arab,Kashmiri,Arab,kas,direct,inferred,2093,1884,2093,2093,0,50.6,287.1,True,True,False,1,kashmiri,name,False,2093,2093,2093,False,False,False,False,False
ava_Cyrl,Avaric,Cyrl,ava,constructed,inferred,1808,1627,1808,1807,0,82.4,918.6,False,False,False,,,none,False,1807,1807,1807,False,False,False,False,False
